
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:50397   49.7.47.44:443         ESTABLISHED     7044
  TCP    192.168.33.138:51155   183.47.122.37:443      ESTABLISHED     7044
  TCP    192.168.33.138:51315   14.152.94.114:443      ESTABLISHED     7044
  TCP    192.168.33.138:54741   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:55158   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56569   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56571   116.11.3.172:47622     ESTABLISHED     7044
  TCP    192.168.33.138:56573   110.187.118.9:42178    FIN_WAIT_2      7044
  TCP    192.168.33.138:56575   219.139.77.136:53927   ESTABLISHED     7044
  TCP    192.168.33.138:56577   14.218.11.60:12361     ESTABLISHED     7044
  TCP    192.168.33.138:56579   113.90.80.45:50291     ESTABLISHED     7044
  TCP    192.168.33.138:56581   183.47.30.163:3234     ESTABLISHED     7044
  TCP    192.168.33.138:56582   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56583   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56584   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56585   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:56586   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56587   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56589   49.67.219.169:10093    ESTABLISHED     7044
  TCP    192.168.33.138:56590   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56591   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56592   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56594   58.214.248.25:42460    ESTABLISHED     7044
  TCP    192.168.33.138:56595   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56596   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56599   180.143.162.27:13539   ESTABLISHED     7044
  TCP    192.168.33.138:56600   202.104.204.160:36767  ESTABLISHED     7044
  TCP    192.168.33.138:56603   115.148.162.36:45555   ESTABLISHED     7044
  TCP    192.168.33.138:56604   119.126.113.234:8556   ESTABLISHED     7044
  TCP    192.168.33.138:56607   115.201.255.88:6703    ESTABLISHED     7044
  TCP    192.168.33.138:56608   180.137.95.196:4580    TIME_WAIT       0
  TCP    192.168.33.138:56610   182.86.43.85:22735     ESTABLISHED     7044
  TCP    192.168.33.138:56612   183.145.110.232:52950  ESTABLISHED     7044
  TCP    192.168.33.138:56614   171.104.185.220:32423  ESTABLISHED     7044
  TCP    192.168.33.138:56617   58.59.218.33:6705      ESTABLISHED     7044
  TCP    192.168.33.138:56618   117.86.156.65:6395     ESTABLISHED     7044
  TCP    192.168.33.138:56620   112.94.31.252:20325    ESTABLISHED     7044
  TCP    192.168.33.138:56622   39.188.196.222:56855   ESTABLISHED     7044
  TCP    192.168.33.138:56623   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56624   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56625   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56626   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:56628   221.226.0.149:50293    ESTABLISHED     7044
  TCP    192.168.33.138:57617   183.130.251.133:40717  TIME_WAIT       0
  TCP    192.168.33.138:57622   183.145.110.232:52950  TIME_WAIT       0
  TCP    192.168.33.138:57623   115.148.162.36:45555   TIME_WAIT       0
  TCP    192.168.33.138:57627   49.67.219.169:10093    TIME_WAIT       0
  TCP    192.168.33.138:57631   58.214.248.25:42460    TIME_WAIT       0
  TCP    192.168.33.138:57635   115.201.255.88:6703    TIME_WAIT       0
  TCP    192.168.33.138:57638   221.226.0.149:50293    TIME_WAIT       0
  TCP    192.168.33.138:57639   117.86.156.65:6395     TIME_WAIT       0
  TCP    192.168.33.138:57641   39.188.196.222:56855   TIME_WAIT       0
  TCP    192.168.33.138:57644   182.110.190.156:19912  TIME_WAIT       0
  TCP    192.168.33.138:57647   14.154.0.0:10965       TIME_WAIT       0
  TCP    192.168.33.138:57659   113.95.137.71:48913    TIME_WAIT       0
  TCP    192.168.33.138:57667   180.143.162.27:13539   TIME_WAIT       0
  TCP    192.168.33.138:57668   202.104.204.160:36767  TIME_WAIT       0
  TCP    192.168.33.138:57672   119.126.113.234:8556   TIME_WAIT       0
  TCP    192.168.33.138:57679   180.137.95.196:4580    TIME_WAIT       0
  TCP    192.168.33.138:57694   115.236.12.84:30132    TIME_WAIT       0
  TCP    192.168.33.138:57697   223.167.100.56:5606    TIME_WAIT       0
  TCP    192.168.33.138:57698   60.168.207.24:48189    TIME_WAIT       0
  TCP    192.168.33.138:61762   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:62255   111.124.200.84:443     ESTABLISHED     7044
  TCP    192.168.33.138:63498   111.124.200.67:443     ESTABLISHED     7044
  TCP    192.168.33.138:64388   119.145.208.243:3309   TIME_WAIT       0
  TCP    192.168.33.138:64398   112.94.31.252:20325    TIME_WAIT       0
  TCP    192.168.33.138:64400   180.120.200.18:6899    TIME_WAIT       0
  TCP    192.168.33.138:64405   222.168.231.50:45599   TIME_WAIT       0
  TCP    192.168.33.138:64414   59.37.162.192:27585    TIME_WAIT       0
  TCP    192.168.33.138:64418   61.165.100.235:36593   TIME_WAIT       0
