
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:63475       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63476       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63482       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63483       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63486       223.101.42.19:11063    TIME_WAIT       0
  TCP    26.26.26.1:63489       61.139.23.139:8698     ESTABLISHED     8308
  TCP    26.26.26.1:63493       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63497       111.124.200.67:443     ESTABLISHED     8308
  TCP    26.26.26.1:63499       183.7.144.173:25842    ESTABLISHED     8308
  TCP    26.26.26.1:63500       112.41.32.22:22272     ESTABLISHED     8308
  TCP    26.26.26.1:63501       223.101.42.19:11063    ESTABLISHED     8308
  TCP    26.26.26.1:63502       112.41.9.184:11508     ESTABLISHED     8308
  TCP    26.26.26.1:63507       111.63.99.247:80       TIME_WAIT       0
  TCP    26.26.26.1:63508       36.150.141.95:443      ESTABLISHED     8308
  TCP    26.26.26.1:63511       115.238.129.3:443      ESTABLISHED     8308
  TCP    26.26.26.1:63524       110.167.201.246:13598  ESTABLISHED     8308
  TCP    26.26.26.1:63528       59.47.52.210:42806     ESTABLISHED     8308
  TCP    26.26.26.1:63530       113.12.44.208:49731    ESTABLISHED     8308
  TCP    26.26.26.1:63532       61.184.21.163:45357    ESTABLISHED     8308
  TCP    26.26.26.1:63534       182.200.199.207:36032  ESTABLISHED     8308
  TCP    26.26.26.1:63536       219.150.235.166:23472  ESTABLISHED     8308
  TCP    26.26.26.1:63538       222.216.37.124:57725   ESTABLISHED     8308
  TCP    26.26.26.1:63540       119.41.137.23:55603    TIME_WAIT       0
  TCP    26.26.26.1:63541       113.90.157.134:42502   ESTABLISHED     8308
  TCP    26.26.26.1:63544       183.7.149.135:59661    ESTABLISHED     8308
  TCP    26.26.26.1:63546       183.47.30.163:3234     ESTABLISHED     8308
  TCP    26.26.26.1:63548       113.140.81.214:40577   ESTABLISHED     8308
  TCP    26.26.26.1:63550       222.168.231.50:45599   ESTABLISHED     8308
  TCP    26.26.26.1:63552       125.75.126.222:59642   ESTABLISHED     8308
  TCP    26.26.26.1:64739       150.171.28.11:443      ESTABLISHED     35772
  TCP    26.26.26.1:64746       49.86.8.29:44361       ESTABLISHED     8308
  TCP    26.26.26.1:64748       61.165.100.235:36593   ESTABLISHED     8308
  TCP    26.26.26.1:64750       117.22.168.144:1198    ESTABLISHED     8308
  TCP    127.0.0.1:8900         127.0.0.1:49668        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49673        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49674        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49675        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49676        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49677        ESTABLISHED     4448
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       35972
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       28696
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       6600
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:20017        0.0.0.0:0              LISTENING       8308
  TCP    127.0.0.1:33211        0.0.0.0:0              LISTENING       6588
  TCP    127.0.0.1:38309        0.0.0.0:0              LISTENING       32636
  TCP    127.0.0.1:45678        0.0.0.0:0              LISTENING       13264
  TCP    127.0.0.1:49668        127.0.0.1:8900         ESTABLISHED     5912
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED     4448
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED     4448
  TCP    127.0.0.1:49673        127.0.0.1:8900         ESTABLISHED     11348
  TCP    127.0.0.1:49674        127.0.0.1:8900         ESTABLISHED     11080
  TCP    127.0.0.1:49675        127.0.0.1:8900         ESTABLISHED     11256
  TCP    127.0.0.1:49676        127.0.0.1:8900         ESTABLISHED     11144
  TCP    127.0.0.1:49677        127.0.0.1:8900         ESTABLISHED     10888
  TCP    127.0.0.1:49724        0.0.0.0:0              LISTENING       1348
  TCP    127.0.0.1:51404        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:55547        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:59362        0.0.0.0:0              LISTENING       25648
  TCP    127.0.0.1:59362        127.0.0.1:51404        ESTABLISHED     25648
  TCP    127.0.0.1:59362        127.0.0.1:55547        ESTABLISHED     25648
  TCP    127.0.0.1:62816        127.0.0.1:62817        ESTABLISHED     8308
  TCP    127.0.0.1:62817        127.0.0.1:62816        ESTABLISHED     8308
  TCP    127.0.0.1:62818        127.0.0.1:62819        ESTABLISHED     8308
  TCP    127.0.0.1:62819        127.0.0.1:62818        ESTABLISHED     8308
  TCP    172.19.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:49335   113.96.22.6:443        TIME_WAIT       0
