
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:51710   116.253.246.53:19390   TIME_WAIT       0
  TCP    192.168.33.138:51714   122.228.98.176:443     ESTABLISHED     7044
  TCP    192.168.33.138:51719   123.151.207.13:32012   TIME_WAIT       0
  TCP    192.168.33.138:51730   117.63.251.248:57809   TIME_WAIT       0
  TCP    192.168.33.138:51738   117.187.109.194:21573  TIME_WAIT       0
  TCP    192.168.33.138:51741   222.209.90.217:40731   TIME_WAIT       0
  TCP    192.168.33.138:51743   222.169.222.194:32378  TIME_WAIT       0
  TCP    192.168.33.138:51745   180.141.240.85:18184   TIME_WAIT       0
  TCP    192.168.33.138:51747   220.168.156.85:51467   TIME_WAIT       0
  TCP    192.168.33.138:51751   119.41.18.63:42982     TIME_WAIT       0
  TCP    192.168.33.138:51752   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51753   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51754   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51758   117.176.252.5:21601    TIME_WAIT       0
  TCP    192.168.33.138:51759   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51760   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51762   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51763   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51765   123.172.144.202:61441  TIME_WAIT       0
  TCP    192.168.33.138:51775   112.41.41.211:5092     TIME_WAIT       0
  TCP    192.168.33.138:51777   220.172.174.156:10771  TIME_WAIT       0
  TCP    192.168.33.138:51778   175.31.15.20:24327     TIME_WAIT       0
  TCP    192.168.33.138:51779   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51780   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51788   175.31.15.20:24327     TIME_WAIT       0
  TCP    192.168.33.138:51791   163.142.180.45:20295   TIME_WAIT       0
  TCP    192.168.33.138:51792   39.172.89.237:33474    TIME_WAIT       0
  TCP    192.168.33.138:51804   61.184.21.163:45357    TIME_WAIT       0
  TCP    192.168.33.138:51806   159.27.247.0:443       TIME_WAIT       0
  TCP    192.168.33.138:51808   182.200.199.207:36032  TIME_WAIT       0
  TCP    192.168.33.138:51809   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51811   122.228.0.64:443       TIME_WAIT       0
  TCP    192.168.33.138:51812   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51814   159.27.247.0:443       FIN_WAIT_1      7044
  TCP    192.168.33.138:51815   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51816   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51817   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51818   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51819   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51821   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51823   116.253.246.53:19390   TIME_WAIT       0
  TCP    192.168.33.138:51824   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51826   123.151.207.13:32012   TIME_WAIT       0
  TCP    192.168.33.138:51827   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51829   117.63.251.248:57809   TIME_WAIT       0
  TCP    192.168.33.138:51830   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51838   115.238.219.98:443     TIME_WAIT       0
  TCP    192.168.33.138:51839   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51840   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51841   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51843   222.209.90.217:40731   TIME_WAIT       0
  TCP    192.168.33.138:51846   122.228.15.228:443     ESTABLISHED     7044
  TCP    192.168.33.138:51848   220.168.156.85:51467   TIME_WAIT       0
  TCP    192.168.33.138:51850   222.169.222.194:32378  TIME_WAIT       0
  TCP    192.168.33.138:51852   180.141.240.85:18184   TIME_WAIT       0
  TCP    192.168.33.138:51854   119.41.18.63:42982     TIME_WAIT       0
  TCP    192.168.33.138:51855   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51856   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51857   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51859   117.187.109.194:21573  ESTABLISHED     7044
  TCP    192.168.33.138:51861   111.124.200.67:443     ESTABLISHED     7044
  TCP    192.168.33.138:51862   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51863   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51866   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51867   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51869   117.176.252.5:21601    ESTABLISHED     7044
  TCP    192.168.33.138:51873   114.235.16.99:31242    ESTABLISHED     7044
  TCP    192.168.33.138:51877   219.150.235.166:23472  ESTABLISHED     7044
  TCP    192.168.33.138:51879   222.216.37.124:57725   ESTABLISHED     7044
  TCP    192.168.33.138:51881   110.167.201.246:13598  ESTABLISHED     7044
  TCP    192.168.33.138:51888   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51889   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51892   182.200.199.207:36032  ESTABLISHED     7044
  TCP    192.168.33.138:51893   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51895   123.172.144.202:61441  ESTABLISHED     7044
  TCP    192.168.33.138:51896   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51897   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51898   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51900   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51901   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51905   183.131.44.94:443      ESTABLISHED     7044
  TCP    192.168.33.138:51906   121.228.176.143:443    ESTABLISHED     7044
  TCP    192.168.33.138:51911   171.108.189.49:40969   ESTABLISHED     7044
